Género,Título,Adivinanza 2,Artista,Spotify
Plancha,El Día Que Puedas,Un momento específico en el que logras alcanzar lo que deseas.,Emmanuel,https://open.spotify.com/track/5eHMSmVfVni0JW1nZ15pUH
Urbana,El Doctorado - Remix,Un avance académico extremo que se cambia por un ritmo callejero.,"Tony Dize, Don Omar, Ken-Y",https://open.spotify.com/track/4BMB6FzHBD7QS9qKZz4llG
Urbana,El Empuje,Una fuerza que te impulsa a avanzar con determinación.,Daddy Yankee,https://open.spotify.com/track/42Q1BecJoa3C9NUosup4xP
Vallenato,El Error,"Una falta que se comete, a menudo duele y se lamenta en el pecho.",Los Gigantes Del Vallenato,https://open.spotify.com/track/4HGxfvYaSIoX5nqBXaHjpJ
Urbana,El Farsante,"Quien simula una realidad, pero en el fondo es un engaño.","Ozuna, Romeo Santos",https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
Plancha,El Gato Que Está Triste y Azul - Un Gato Nel Blu,Un felino que refleja melancolía en tonos fríos.,Roberto Carlos,https://open.spotify.com/track/0X1XgxtHG9hULAw296CCgz
Tropical,El Grillero,Un sonajero al que le gusta la fiesta y no para de picar.,Proyecto Uno,https://open.spotify.com/track/37ws88i53kzULHGoip4u1h
Banda,El Idiota,"Aquel que actúa sin pensar, a menudo se deja llevar por el corazón.",Giovanny Ayala,https://open.spotify.com/track/74ArDrfRLPZ2Dajhn1pDK9
Banda,El Intenso,"Fuerte y lleno de fervor, algo que se siente y nunca se olvida.",Jhonny Rivera,https://open.spotify.com/track/65DUocb3eZpJHN5AsVgKmT
Vallenato,El Invierno Pasado,La estación fría que ya quedó en el recuerdo.,"Jorge Celedón, Jimmy Zambrano",https://open.spotify.com/track/11LPNeouMLQ3GZM4IUHPWF
Tropical,El Jardin Prohibido,"Un espacio verde del que no se debe disfrutar, lleno de secretos y encanto.",Alex Bueno y Su Orquesta,https://open.spotify.com/track/1YjAt7R7nD1galaCxYAlGC
Tropical,El Jardinero,Un cultivador que se dedica a hacer florecer lo que crece en la tierra.,Wilfrido Vargas,https://open.spotify.com/track/5O4a5RCYTJ452nsCuiPwtD
Urbana,El Jefe,"Quien lleva la batuta en un lugar de trabajo, siempre manda y decide.","Shakira, Fuerza Regida",https://open.spotify.com/track/5wjsJIUf6pdrwauPDae43o
Pop Latino,El lado oscuro,La parte de la sombra que todos preferimos ocultar.,Jarabe De Palo,https://open.spotify.com/track/3AR1c3Dssq51WlGGkuYJNj
Urbana,El Malo,El que se aleja de lo bueno y se adentra en lo negativo.,Aventura,https://open.spotify.com/track/217bRMES4HVbPdUe8l8ECN
Plancha,El Maniquí,"Un muñeco que no se mueve, pero que todos quieren imitar.",Sandro,https://open.spotify.com/track/3VN3vYr5Ez7kjx6th8U9U1
Tropical,El Mar y Yo,Una vasta extensión de agua y un compañero que siempre está contigo.,Pedro Conga,https://open.spotify.com/track/2PiHXARAQmoiU0aEait8Uz
Tropical,El Matrimonio,"Un lazo que une a dos, celebrado con alegría y sabor, pero no es un baile.",El Gran Combo De Puerto Rico,https://open.spotify.com/track/5iRpXTUqvHvgawV9aVy6d1
Plancha,El Me Mintio,Quien dice lo contrario de la verdad para engañarte y hacerte daño.,Amanda Miguel,https://open.spotify.com/track/3ggvjESj359A112JKygsy2
Plancha,Él Me Mintió,"Una declaración que no es cierta, hecha por quien decía sentir amor sincero.",Amanda Miguel,https://open.spotify.com/track/6lZ2Qk3WcmrG4iDmaEqpvH
Banda,El Mejor,"El máximo en su categoría, superior a todos los demás, es indiscutible.",Carín León,https://open.spotify.com/track/1XsQMbr6hkz7vzxPyw6Zhs
Banda,El Mejor Caballo,El equino más destacado en su categoría.,Yeison Jimenez,https://open.spotify.com/track/45dw1bEGRDbs8O1Vrw1qTe
Urbana,El Merengue,"Ritmo bailable que suena en fiestas, donde todos se levantan a moverse con alegría.","Marshmello, Manuel Turizo",https://open.spotify.com/track/5KbBVSj6AJZ5662fO8EYFh
Urbana,El Mismo Aire,"Respiramos el mismo elemento que nos rodea, aunque estemos a distancias distintas.",Camilo,https://open.spotify.com/track/3a29UVSEIj6x3YcfKs2rdi
Tropical,El Muñeco de la Ciudad,"Figurita que camina entre edificios, un ser que pertenece a un lugar urbano.",Bobby Valentin,https://open.spotify.com/track/2WL3ME4dKCpCIs8bWBhMnK
Tropical,El Negro Bembón,"Un hombre con características faciales prominentes, de piel muy oscura y encanto natural.",Ismael Rivera,https://open.spotify.com/track/2J5Hs4nDT46cmVqHk7YUwg
Plancha,El Niño y el Canario,"Un pequeño joven y un ave que canta, juntos en la vida, un dúo encantador.",Leonardo Favio,https://open.spotify.com/track/73g4pHWtdA5Bbshsb7Ctu9
Urbana,El Pañuelo,"Un pedazo de tela, a menudo usado en la cabeza o para secar lágrimas.","Romeo Santos, ROSALÍA",https://open.spotify.com/track/7jfmlr5W2AQWUGLVhT8ofl
Urbana,El Perdedor,"Quien sufre en una competencia amorosa, termina siendo aquel que no logra ganar.",Aventura,https://open.spotify.com/track/27ze5t5tIDPlVits0KRbxT
Urbana,El Perdedor,"El que sufre tras una derrota, siente el peso de la tristeza en su ser.",Maluma,https://open.spotify.com/track/1iEwyiSLAunPR6uouANE0O
Urbana,El Perdón (with Enrique Iglesias),Un perdón por lo que quedó sin resolver entre dos corazones.,"Nicky Jam, Enrique Iglesias",https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr
Banda,El Precio de Tu Error - En Vivo,¿Cuánto cuesta equivocarse en el amor cuando la culpa no es solo tuya?,Luis Alfonso,https://open.spotify.com/track/45DhsSxAU4rENWHUfaZedt
Pop Latino,El Problema,Lo que surge cuando algo no sale como esperábamos.,Ricardo Arjona,https://open.spotify.com/track/4xOH4JowajfqHegIJ07EJV
Urbana,EL REY DE LO IMPERFECTO,"Soberano de lo que carece de perfección, aunque brilla con su propia luz.",Daddy Yankee,https://open.spotify.com/track/4hgd5aoPFWEexRQLEep1rO
Banda,El Rey Del Chupe,Soberano de la bebida que lleva un toque de sabor a mar.,Jhon Alex Castaño,https://open.spotify.com/track/0Z8OH5NjceP2zuAdGMb5K0
Vallenato,El Siniestro De Ovejas,Un evento trágico relacionado con animales de granja que suelen pastar.,Binomio de Oro de América,https://open.spotify.com/track/3aRcbvbLPQwNoLLgGipuEv
Pop Latino,El Sol No Regresa,"Astro que ilumina, pero no vuelve al punto de inicio.",La Quinta Estacion,https://open.spotify.com/track/2awKQgW88iq9jFM54VaCAp
Urbana,El Teléfono,"Un dispositivo que conecta voces a distancia, pero que puede resultar muy confuso.","Héctor ""El Father"", Wisin & Yandel",https://open.spotify.com/track/614NVFo5csQqRnryl4jXs2
Plancha,El Triste,Un estado emocional profundo que acompaña a una pérdida significativa.,José José,https://open.spotify.com/track/6HgUhIiqCepGzgb4nuses6
Tropical,El Triste,Una emoción profunda que siente un corazón al perder algo querido.,Eddie Santiago,https://open.spotify.com/track/0KZTiDXaszX5AB0eaJ9Y7z
Tropical,El Tun Tun De Tu Corazón,Un sonido rítmico que acompaña a lo que palpita en tu pecho.,Orquesta La Palabra,https://open.spotify.com/track/6azINcp9xhWaTk1f5bkfQL
Banda,El Último No,"El final de una serie de despedidas, donde siempre queda uno más.",Jessi Uribe,https://open.spotify.com/track/3vI0xU761yZp8Lz4ZvIFpC
Urbana,El Voldemor,"Un apodo que lleva miedo, ni nombre tiene, solo su sombra queda.",Juan Duque,https://open.spotify.com/track/68eRrgeRSCw571y4E2cr0F
Urbana,Electrica,"Energía vibrante que hace latir tu ser, la corriente que despierta la pasión.","Wisin & Yandel, Gadiel",https://open.spotify.com/track/3iZCGJKeLgSDQyWUrLklGa
Urbana,Ella,Una pronombre femenino que brilla con su propia luz.,Boza,https://open.spotify.com/track/66S2z95FN3nUAr9S1gUIsp
Urbana,Ella - Remix,Una pronombre en femenino que también puede referirse a una figura central.,"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
Vallenato,Ella Era Todo,Una mujer que representaba la totalidad de mis sentimientos y anhelos.,Los inquietos del vallenato,https://open.spotify.com/track/1MldC2AUalcu3fYRFHalHS
Tropical,Ella Es,Una femenina que brilla con su propia luz y se destaca entre todas.,Tony Vega,https://open.spotify.com/track/78PzB8BttzQD3nHN8QOJTU
Tropical,Ella Feat. Luis Enrique,La que se siente al ver que alguien brilla y despierta emociones.,Hansel Y Raul,https://open.spotify.com/track/3CXhO7ZR4kZ0n5dW3v3ACK
Urbana,Ella Me Levanto,"Una mujer que cambia tu estado, elevándote por encima de lo cotidiano.",Daddy Yankee,https://open.spotify.com/track/3AZXqe3LGCFD4r6YFJgaK3
Urbana,Ella Me Mira (Hype Intro Remix),"Una observadora que fija su atención en mí, capturando cada instante.",La Nueva Escuela,https://open.spotify.com/track/1WSWsRrqqwKrW0MGVWlWDD
Tropical,Ella Mintio,"Una dama engañó, su promesa se desvaneció en el aire como un susurro.",Héctor Lavoe,https://open.spotify.com/track/38jXpd3MWsq9HYdJTBCAvT
Urbana,Ella Quiere Beber - Remix,Una dama anhela disfrutar de una bebida alcohólica en compañía.,"Anuel AA, Romeo Santos",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
Tropical,Ella Se Hizo Deseo,"Un cambio en un deseo, donde ella se transforma en algo irresistible.",Tito Rojas,https://open.spotify.com/track/60T9E5dxb4076R7fv3Njjo
Tropical,Ella y Tu,"Una dama y un compañero, ambos en un mismo destino.",Juan Manuel Lebron,https://open.spotify.com/track/5FXvmoRdm4AmZKcMnNwpWu
Urbana,Ella Y Yo - Featuring Don Omar,"Dos protagonistas, un lazo complicado; cada uno tiene su propia historia y secreto.","Aventura, Don Omar",https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3
Plancha,"Ella...Ella Ya Me Olvidó, Yo la Recuerdo Ahora","Una mujer que se ha ido, y en mi mente persiste su memoria.",Leonardo Favio,https://open.spotify.com/track/2IG7Gl8zcAJiYcZBKMvdWD
Banda,Ellas Así Son,Son féminas que presentan un carácter que a veces resulta difícil de entender.,"Jessi Uribe, Espinoza Paz",https://open.spotify.com/track/2Ms9XoE9VP7RnaVsI5Wswh
Banda,Empecemos de Cero (Nueva Versión),"Iniciemos de nuevo, dejando atrás todo lo vivido.","Jhonny Rivera, Lady Yuliana",https://open.spotify.com/track/0Wf3yEjUOKzdxMeOlxGfzC
Pop Anglo,Empire State Of Mind,Una metrópoli donde los sueños alcanzan nuevas alturas y brillan con luz propia.,"JAŸ-Z, Alicia Keys",https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO
Banda,EN ALTAVOZ,Un dispositivo que amplifica el sonido desde una posición elevada.,"Grupo Frontera, Junior H",https://open.spotify.com/track/1EKZmfqveHKe78Isfk07w4
Vallenato,En Carne Propia,Un sufrimiento tan intenso que puedes sentirlo como parte de ti mismo.,Silvio Brito Y Osmel Meriño,https://open.spotify.com/track/62Lhuw1ui47VHfvd7JxCKt
Tropical,En Defensa Propia,"Actuar sin esperar el permiso de otros, para proteger lo que sientes.",Alex D'Castro,https://open.spotify.com/track/0jtdGFqLiXnyUiRaKmz0CO
Pop Latino,En El Muelle de San Blas,Donde las olas se encuentran con la tierra en un lugar específico de un puerto famoso.,Maná,https://open.spotify.com/track/0mvocLIWUnT10znvIXwHGr
Urbana,En La Cama,"Un lugar cómodo y suave donde descansar, quizás en compañía.","Nicky Jam, Daddy Yankee",https://open.spotify.com/track/0smQWysb4n7WOVGv5YMLnF
Tropical,En La Intimidad,Un lugar privado donde los dos pueden estar cerca sin distracciones del exterior.,Willie Gonzalez,https://open.spotify.com/track/4oIP3qDfZDdqYXa6ConXCe
Banda,En La Misma Cama,"Dos cuerpos en un lugar compartido, aunque el espacio no sea el mismo.",Carín León,https://open.spotify.com/track/4mknaB6EEmN3noSR71073a
Urbana,En Otra Vida,Un periodo distinto donde el tiempo y el destino se entrelazan de nuevo.,"Kei Linch, Almanegra, La Loquera",https://open.spotify.com/track/0KG2rTLTb6riEQiBI1fsHr
Urbana,En Otra Vida,"Una existencia diferente, donde el tiempo y el destino se cruzan de nuevo.","Yami Safdie, Lasso",https://open.spotify.com/track/5U5Wz0jyq5ULNfCjf3TaJF
Banda,En Otra Vida - Con Carin Leon,"Un momento alternativo a este, donde los caminos se cruzan nuevamente.","Yami Safdie, Lasso, Carín León",https://open.spotify.com/track/7GDeMqjePrVZ9O6d3HqKZU
Urbana,En Privado,Espacio restringido para compartir lo que no se debe mostrar.,"Xavi, Manuel Turizo",https://open.spotify.com/track/2SkB7jADnfiWH8qAE9H8cO
Banda,En Que Falle,"¿Qué error cometí en nuestra conexión, que provocó esta separación?",Los Tigres Del Norte,https://open.spotify.com/track/3l1M5LaRpIGr6I5xMXf6Ex
Urbana,En Su Nota,"Una melodía que se siente armoniosamente en el aire, envolviendo el alma.","Don Omar, Mackie Ranks",https://open.spotify.com/track/3YT1coaqAGWLRBIBJOu8AN
Urbana,En Tu Boca El Humo Me Sabe Mejor,El vapor que desprenden tus labios tiene un sabor que supera a cualquier otro.,"Nanpa Básico, DFZM",https://open.spotify.com/track/4aP7c3XvK1QPX5ru1Xcnyv
Tropical,En Tu Camino,La ruta que debes seguir para alcanzar tus sueños.,Orquesta Sabotaje,https://open.spotify.com/track/7BdsIeaQNlCh5FNvEVSJqJ
Tropical,Enamorada,Sentimiento profundo que te hace ver el mundo a través de corazones.,Grupo Niche,https://open.spotify.com/track/7pFSymHAQO021YmaKCVDoC
Pop Latino,Enamorándonos,Sentimientos floreciendo entre dos corazones que se eligen en su travesía.,Cabas,https://open.spotify.com/track/0hToRwOyIHYlcJ2gm8KsKH
Plancha,Enamorarte de Mí,Sentir un dulce apego hacia alguien que no es el reflejo de uno mismo.,Camilo Sesto,https://open.spotify.com/track/22PKsGbB3DI3u4UPtYefvo
Urbana,Encantadora,Un ser mágico que cautiva y seduce con su belleza.,Yandel,https://open.spotify.com/track/7LABrQFfRYcZUqUwng0Heb
Urbana,Enemigos,"Contrarios que no desean lo mismo, siempre en batalla, pero sin ser rivales directos.","Ozuna, Beéle, Ovy On The Drums",https://open.spotify.com/track/3xmVgE8I6lDQEP2qRaLoG2
Urbana,Enseñame a Olvidar,Un deseo de desaprender el recuerdo de lo que ya no es.,Aventura,https://open.spotify.com/track/79MlVxKj43tDISSISiVHJM
Vallenato,Enséñame a Olvidar,Instruyeme sobre cómo borrar memorias que duelen.,Los Infieles Del Vallenato,https://open.spotify.com/track/7bCSjONzoDNMP35V0hDKhp
Pop Latino,Entra en Mi Vida,Un llamado a que alguien especial cruce el umbral de tu existencia.,Sin Bandera,https://open.spotify.com/track/2h0iSG7htO0V4IvuwbTBf3
Vallenato,Entre Amigos,Un vínculo cercano que se forma en buena compañía.,Los Gigantes Del Vallenato,https://open.spotify.com/track/5cZSOLRlo83lM8xJKIieQt
Banda,Entre Comillas,Un espacio delimitado donde pueden encontrarse pensamientos o diálogos.,Darío Gómez,https://open.spotify.com/track/6HhOgGZWmN5DqqsdJGfhUK
Banda,Entre Comillas - En Vivo,Una frase que se usa para destacar algo importante en el habla.,Luis Alfonso,https://open.spotify.com/track/6KQhHyJrk7hOfVsbY5GQMD
Vallenato,Entre el Cielo y la Tierra,Un lugar donde los mortales sueñan con lo que está más allá.,"Los Chiches Vallenatos, Osmar Pérez",https://open.spotify.com/track/0Zn1VojIT6n3er7quzMtOm
Tropical,Entre La Espada y La Pared,"Situación difícil, rodeado por dos extremos sin salida.",Nino Segarra,https://open.spotify.com/track/2UpoA15YFW9ItA8BjXUOJg
Tropical,Entrega,"Lo que se da con pasión, sin reservas ni condiciones.",Grupo Niche,https://open.spotify.com/track/25ctEUXPIZD2Wb9l57tgA1
Urbana,ENTRÉGAME,"Devuélveme lo que me diste, como si entre tus manos estuviera mi corazón.","Chino & Nacho, Chyno Miranda, Nacho, Danny Ocean",https://open.spotify.com/track/1row4dtcgQr36V5J5IaylU
Vallenato,Entregame Tu Amor,"Súplica por el afecto que te ofrezco, pide mi cariño sin reservas.",Los inquietos del vallenato,https://open.spotify.com/track/0KR2dfNLJJCmObaAc5r1f7
Urbana,EoO,"Un sonido festivo que invita a levantarse, seguido de la última letra del abecedario.",Bad Bunny,https://open.spotify.com/track/6J5kc12BW5HuP3d7C3vvx8
Tropical,Equivocada,Un error en el camino que nos lleva a la confusión.,Pedro Conga,https://open.spotify.com/track/1GsawwSxCoWdFLFPnmiDdq
Tropical,Era Mentira,"Una afirmación que resulta ser engañosa, un engaño disfrazado de verdad.",Rikarena,https://open.spotify.com/track/5HsglGvMFQvP0wEupHBRV3
Pop Latino,Eres,"La esencia de tu ser, el motivo de mi alegría.",Café Tacvba,https://open.spotify.com/track/6kdCN6gTWLcLxmLXoUcwuI
Tropical,Eres,"La esencia de alguien que ilumina mis días, sin necesidad de más palabras.",Grupo Niche,https://open.spotify.com/track/1aBJ5ljG2GalxEl01vQn04
Banda,Eres Mi Droga,Te necesito más que a una sustancia adictiva que me hace sentir completo.,"Grupo Dominio, Jessi Uribe, Gency Ramírez",https://open.spotify.com/track/4SSFGltJhiqyvSA0wPWCo6
Urbana,Eres Mía,"Aquel que pertenece a alguien, que no se puede compartir.",Romeo Santos,https://open.spotify.com/track/6I86RF3odBlcuZA9Vfjzeq
Tropical,Eres Tu,La esencia de alguien que hace sentir que todo tiene sentido.,Cano Estremera,https://open.spotify.com/track/1jmC8vpTRlfJZc5UqywFTD
Plancha,Eres Tú,"Definitivamente, la persona que se siente especial en el corazón de alguien.",Mocedades,https://open.spotify.com/track/08HeIb9BidFjKROf9ptln0
Vallenato,Es Dolor,Un sentimiento intenso que acompaña a las penas del corazón.,Omar Geles,https://open.spotify.com/track/4YgZDUVyWaNPwwHFPZFURi
Tropical,Es Mi Mujer,"A quien tengo en mi vida la considero única y especial, como un regalo eterno.",Tito Rojas,https://open.spotify.com/track/1A77GFUHMnQW1U6Z9pejg1
Pop Latino,Es Por Ti,"La razón que ilumina mis días, sin ti, no hay un ayer.",Juanes,https://open.spotify.com/track/3b1IQflSLrgzYQPGFzI9cl
Urbana,Es Un Secreto,"Un misterio guardado entre susurros, que no se revela a voces.",Plan B,https://open.spotify.com/track/1AddbBdKFz8wdqatGVSsYS
Tropical,Esa,"Una prenda que llevas puesta, pero también puede referirse a un sentimiento intenso.",Willie Gonzalez,https://open.spotify.com/track/3Y3gFFwT5HpChUxdyfC0oq
Vallenato,Esa,Una pronombre que indica pertenencia y una palabra que señala un adjetivo que describe a algo distante.,Binomio de Oro,https://open.spotify.com/track/5BHKpCV5UiIPTAp7JCrsX5
Tropical,Esa Mujer,"Dama que influye en el corazón, causando suspiros y deseos profundos.",Tony Vega,https://open.spotify.com/track/2GBTcQdwU4pEEreRvAQkqI
Tropical,Esa Mujer,"El ser que se destaca entre todas, con un encanto que la hace única.",Mariano Civico,https://open.spotify.com/track/6rtgF97rwUphXgtsHaUbvo
Tropical,Esa Niña,Una joven que provoca suspiros y sonrisas en quienes la ven.,Jerry Rivera,https://open.spotify.com/track/5EUxyA4nqOjPTuykdXTIZF
Plancha,Esa Pared,"Una barrera entre dos, que a veces separa corazones.",Leo Dan,https://open.spotify.com/track/2D7QsEzkNUzzFKqIFmvXcY
Urbana,"Escápate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel & Almighty) - Remix","Aprovecha el momento, huye juntos de la realidad y vive la aventura.","Wisin, Ozuna, Bad Bunny, De La Ghetto, Arcángel, Noriel, Almighty",https://open.spotify.com/track/5YY7ht3PCArlLjLbcTiAvh
Urbana,Escápate Conmigo (feat. Ozuna),"Huye a mi lado, dejemos atrás el mundo y nuestras preocupaciones.","Wisin, Ozuna",https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
Tropical,Escapémonos - Salsa Version,Huya de la rutina y déjese llevar a un lugar sin preocupaciones.,"Marc Anthony, Jennifer Lopez, Sergio George",https://open.spotify.com/track/4oGs2MK6C35jMJhaT151yg
Tropical,Escombros,"Restos de algo que alguna vez fue un todo, ahora reducido a fragmentos dispersos.",La Suprema Corte,https://open.spotify.com/track/5gQ1Awb32cPEnpe7XaSXKE
Tropical,Escombros,"Fragmentos que quedan tras la destrucción, vestigios de lo que solía ser.",Juan Carlos Alfonso y La Dan Den de Cuba,https://open.spotify.com/track/5SjqJYh6TgdyYaLK1mBe8m
Vallenato,Escuchame,"Presta atención a lo que digo, quizás encuentres la respuesta en mis palabras.",Los Diablitos,https://open.spotify.com/track/3PKb0jkeptcJoXnk5vWJUa
Tropical,Ese Día,"Un momento específico que se recuerda con alegría, abrazando lo que se vivió.",Grupo Niche,https://open.spotify.com/track/5IQIEFwti3K4syYXsHZu9H
Banda,Ese Vato No Te Queda,"Alguien que no encaja en tu vida y no resalta, por más que lo intentes.","Carín León, Gabito Ballesteros",https://open.spotify.com/track/4Ndjd6DhKIC5IPoBIrMQuX
Tropical,Eso Se Baila Así,"Movimientos al ritmo que se disfrutan en el baile, con un toque especial.","Willie Colón, Héctor Lavoe",https://open.spotify.com/track/6idJ1C13ztOwTWnvipyTcV
Plancha,Eso Y Más,Lo que hay y otros elementos adicionales que podrías desear.,Joan Sebastian,https://open.spotify.com/track/7HW5tUjaKxBUamSi7nnzPt
Tropical,Esos Ojitos Negros,"Miradas que atrapan, pero en un tono oscuro y profundo.",El Gran Combo De Puerto Rico,https://open.spotify.com/track/0rjZnZyqRc95UlV4lQNhxn
Urbana,Esperándote,"En la acción de anhelar tu regreso, estoy aquí, mientras el tiempo pasa.",Manuel Turizo,https://open.spotify.com/track/6DPp7xKJ4WS71HldGA038M
Tropical,Esposa,"La compañera de vida, atada por el amor y el compromiso.",Tony Vega,https://open.spotify.com/track/57WDm0gXEa4l00RoCHfHc0
Vallenato,Esposa Mía,La compañera que se elige para compartir la vida y el corazón.,"Otto Serge, Rafael Ricardo",https://open.spotify.com/track/1KM7OeHdXgJlgl4OgzEscB
Tropical,Esta Cobardia,"El miedo a enfrentar lo que sientes, te lleva a esconder tus sentimientos.",Frankie Ruiz,https://open.spotify.com/track/0YflRaQGpn2ouitdYTMRvh
Tropical,Esta Manera Tan Loca,Una forma muy peculiar de actuar que desafía la razón.,"YUTHO, Yuri Toro",https://open.spotify.com/track/0dZaVMIRIZToG7Oe7DpzLc
Urbana,Esta Noche,Momento en el que el sol se oculta y las estrellas brillan.,"Mike Bahía, Greeicy",https://open.spotify.com/track/4vhkI8x68EaGQR3Kn7Pwhc
Tropical,Esta Pegao,"Cuando algo se adhiere con fuerza, eso significa que está... ",Proyecto Uno,https://open.spotify.com/track/7f698P4uIhoNM4E3XkgvL3
Urbana,Estamos Perdiendo el Tiempo,Un periodo que se escapa entre los dedos y una sensación de horas que no vuelven.,"Caracol Televisión, David Botero",https://open.spotify.com/track/5dGRw0gvI3SyiYDyp6Qq3Y
Tropical,Estamos Solos,"En este momento, no hay compañía a nuestro alrededor.",Rey Ruiz,https://open.spotify.com/track/1icDiNNUdGBp51jNLPbeFO
Urbana,Estar Enamorado,Sentirse profundamente afectado por alguien especial en cada rincón del corazón.,Golpe a Golpe,https://open.spotify.com/track/2RFDO2apMKOOytAWsNHmyH
Plancha,Este hombre no se toca,Aquel varón que no se debe acercar jamás.,Rocio Banquells,https://open.spotify.com/track/047T2fSx1eNiRbCNztIAhL
Tropical,Este Loco Que Te Mira,Un individuo curiosamente desquiciado que observa tu belleza de cerca.,Marc Anthony,https://open.spotify.com/track/5TrVQXTSUdfBgBLcCrZoIA
Urbana,Estoy Enamorado,Un estado profundo de sentir que se ilumina el corazón.,Wisin & Yandel,https://open.spotify.com/track/4JyacVQ1oCFXpnZkDuH5x4
Pop Anglo,Every Breath You Take,"Cada inspiración y exhalación que realizas, tengo un ojo en cada uno de esos momentos.",The Police,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
Pop Anglo,Everybody Wants To Rule The World,"Quien desea gobernar, desea tener el control sobre todo lo que lo rodea.",Tears For Fears,https://open.spotify.com/track/2YiCMmONQcoMPX2bV1LxE0
Tropical,Evitare (feat. Víctor Manuelle),"Una promesa de no permitir que algo ocurra, aunque duela.","N'Klabe, Víctor Manuelle",https://open.spotify.com/track/0PWRGshVfRP3VSNprnMuwj
Pop Anglo,Exchange,"Intercambiar, pero no bienes, sino lo que sientes por alguien.",Bryson Tiller,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
Urbana,Exclusivamente Mia,"Debido a mis deseos, este espacio es solo para mí.",Lefty Perez,https://open.spotify.com/track/1i2hRhYOg3hhW4AS9q2usj
Urbana,Extrañándote (feat. Zion & Lennox),"Sintiéndome vacío por tu ausencia, el dolor de la distancia me consume.","Maluma, Zion & Lennox",https://open.spotify.com/track/40kh4oBp5jEgdMN4WhvtCN
Tropical,Extraño Tu Amor,Anhelo profundo por aquello que añoramos de alguien que ya no está.,Guayacán Orquesta,https://open.spotify.com/track/5g8Tldib7UmXV3ykMRbfdb
Pop Anglo,Eye of the Tiger,La mirada de un felino que se enfrenta a la adversidad.,Survivor,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2
Vallenato,Fábula de Amor,Historia de sentimientos que enseñan lecciones en cada giro del corazón.,"Los Chiches Vallenatos, Amin Martinez",https://open.spotify.com/track/1ua7dvB1sVeCUQRsdspqCj
Pop Anglo,Fallin',Siento que estoy en un ciclo de subir y bajar en el amor.,Alicia Keys,https://open.spotify.com/track/0KQx6HOpJueiSkztcS0r7D
Pop Anglo,Fallin' All In You,Desplomándose por completo en el cariño hacia ti.,Shawn Mendes,https://open.spotify.com/track/5EYBryPOgIEPB7r5QIy6eG
Tropical,Falsaria,"Una persona que engaña, pero a veces lo hace con una sonrisa encantadora.",El Gran Combo De Puerto Rico,https://open.spotify.com/track/0JFcsyxPoqa4ItoVFefzPJ
Urbana,Familia,Un grupo de seres unidos por la sangre o el cariño.,"Caracol Televisión, David Botero",https://open.spotify.com/track/6rTTULWwFWf5jhQ9Smlb13
Urbana,Fanática Sensual,Una admiradora apasionada e intensa que siente un deseo sin límites.,Plan B,https://open.spotify.com/track/5ZFpEsxK5VlLkJi3v7ar2Y
Urbana,Fanatica Sensual (Remix) [feat. Nicky Jam],Aficionada intensa a lo que despierta pasiones y amor desenfrenado.,"Plan B, Nicky Jam",https://open.spotify.com/track/0g5hYBXI9uWcEUfZV7HsYP
Tropical,Fantasia,"Un sueño de colores que parece irreal, donde la imaginación no tiene límite.",Grupo Galé,https://open.spotify.com/track/4QUrdo394fofqroy7txpBX
Tropical,Fantasia Herida,Un sueño adolorido que nunca deja de brillar en la memoria.,Erick Franchesky,https://open.spotify.com/track/57YF2sAAoUZqp3gI2rrtRr
Urbana,Fantasias,"Imaginaciones que juegan en la mente, a menudo inalcanzables y llenas de deseo.","Rauw Alejandro, Farruko",https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
Urbana,Fantasma,"Un ser que no puede ser tocado, pero cuya esencia se siente en la oscuridad.",Zion,https://open.spotify.com/track/0qtmSv1LAqAD63ApakCUuz
Tropical,Fantasma,"Un ser etéreo que habita en la penumbra, a menudo recordado pero nunca visto.",Son De Cali,https://open.spotify.com/track/4Rxy0TpRlxtvIHq3GJxnQD
Pop Anglo,Fantasy,Sueños idealizados que a veces parecen más reales que la vida misma.,Mariah Carey,https://open.spotify.com/track/6xkryXuiZU360Lngd4sx13
Urbana,Favorito,"El elegido entre muchos, aquel que hace latir el corazón con fuerza.",Camilo,https://open.spotify.com/track/0Snbzbd74RLfL0i4nn1vU5
Pop Anglo,Feel,Siente esa emoción intensa que a veces nos envuelve por completo.,Robbie Williams,https://open.spotify.com/track/3fT9nfnv5uLyPsx6ymre7z
